cust_id1,first_name1,last_name1,zip,phone1,country,state
1125,Herman,Demesa,12180,518-497-2940,Rensselaer,NY
1126,Rory,Papasergi,18411,570-867-7489,Lackawanna,PA
1127,Talia,Riopelle,7050,973-245-2133,Essex,NJ
1128,Van,Shire,8867,908-409-2890,Hunterdon,NJ
1129,Lucina,Lary,32922,321-749-4981,Brevard,FL
1130,Bok,Isaacs,10468,718-809-3762,Bronx,NY
1131,Rolande,Spickerman,96782,808-315-3077,Honolulu,HI
1132,Howard,Paulas,80231,303-623-4241,Denver,CO
1133,Kimbery,Madarang,7866,973-310-1634,Morris,NJ
1134,Thurman,Manno,8201,609-524-3586,Atlantic,NJ
1135,Becky,Mirafuentes,7062,908-877-8409,Union,NJ
1136,Beatriz,Corrington,2346,508-584-4279,Plymouth,MA
1137,Marti,Maybury,60638,773-775-4522,Cook,IL
1138,Nieves,Gotter,97202,503-527-5274,Multnomah,OR
1139,Leatha,Hagele,75227,214-339-1809,Dallas,TX
1140,Valentin,Klimek,60604,312-303-5453,Cook,IL
1141,Melissa,Wiklund,45840,419-939-3613,Hancock,OH
1142,Sheridan,Zane,92501,951-645-3605,Riverside,CA
1143,Bulah,Padilla,76707,254-463-4368,McLennan,TX
1144,Audra,Kohnert,37211,615-406-7854,Davidson,TN
1145,Daren,Weirather,53216,414-959-2540,Milwaukee,WI
1146,Fernanda,Jillson,21655,410-387-5260,Caroline,MD
1147,Gearldine,Gellinger,75061,972-934-6914,Dallas,TX
1148,Chau,Kitzman,90212,310-560-8022,Los Angeles,CA
1149,Theola,Frey,11758,516-948-5768,Nassau,NY
1150,Cheryl,Haroldson,8401,609-518-7697,Atlantic,NJ
1151,Laticia,Merced,45203,513-508-7371,Hamilton,OH
1152,Carissa,Batman,97401,541-326-4074,Lane,OR
1153,Lezlie,Craghead,27577,919-533-3762,Johnston,NC
1154,Ozell,Shealy,10002,212-332-8435,New York,NY
1155,Arminda,Parvis,85017,602-906-9419,Maricopa,AZ
1156,Reita,Leto,46240,317-234-1135,Marion,IN
1157,Yolando,Luczki,13214,315-304-4759,Onondaga,NY
1158,Lizette,Stem,8002,856-487-5412,Camden,NJ
1159,Gregoria,Pawlowicz,11530,516-212-1915,Nassau,NY
1160,Carin,Deleo,72202,501-308-1040,Pulaski,AR
1161,Chantell,Maynerich,55101,651-591-2583,Ramsey,MN
1162,Dierdre,Yum,19134,215-325-3042,Philadelphia,PA
1163,Larae,Gudroe,70360,985-890-7262,Terrebonne,LA
1164,Latrice,Tolfree,11779,631-957-7624,Suffolk,NY
1165,Kerry,Theodorov,95827,916-591-3277,Sacramento,CA
1166,Dorthy,Hidvegi,83704,208-649-2373,Ada,ID
1167,Fannie,Lungren,78664,512-587-5746,Williamson,TX
1168,Evangelina,Radde,19123,215-964-3284,Philadelphia,PA
1169,Novella,Degroot,96720,808-477-4775,Hawaii,HI
1170,Clay,Hoa,89502,775-501-8109,Washoe,NV
1171,Jennifer,Fallick,60090,847-979-9545,Cook,IL
1172,Irma,Wolfgramm,7869,973-545-7355,Morris,NJ
1173,Eun,Coody,29301,864-256-3620,Spartanburg,SC
1174,Sylvia,Cousey,21074,410-209-9545,Carroll,MD
1175,Nana,Wrinkles,10553,914-855-2115,Westchester,NY
1176,Layla,Springe,10011,212-260-3151,New York,NY
1177,Joesph,Degonia,94710,510-677-9785,Alameda,CA
1178,Annabelle,Boord,1742,978-697-6263,Middlesex,MA
1179,Stephaine,Vinning,94104,415-767-6596,San Francisco,CA
1180,Nelida,Sawchuk,7652,201-971-1638,Bergen,NJ
1181,Marguerita,Hiatt,94561,925-634-7158,Contra Costa,CA
1182,Carmela,Cookey,60623,773-494-4195,Cook,IL
1183,Junita,Brideau,7009,973-943-3423,Essex,NJ
1184,Claribel,Varriano,43551,419-544-4900,Wood,OH
1185,Benton,Skursky,90248,310-579-2907,Los Angeles,CA
1186,Hillary,Skulski,34448,352-242-2570,Citrus,FL
1187,Merilyn,Bayless,95054,408-758-5015,Santa Clara,CA
1188,Teri,Ennaco,18201,570-889-5187,Luzerne,PA
1189,Merlyn,Lawler,7304,201-588-7810,Hudson,NJ
1190,Georgene,Montezuma,94583,925-615-5185,Contra Costa,CA
1191,Jettie,Mconnell,8807,908-802-3564,Somerset,NJ
1192,Lemuel,Latzke,11716,631-748-6479,Suffolk,NY
1193,Melodie,Knipp,91362,805-690-1682,Ventura,CA
1194,Candida,Corbley,8876,908-275-8357,Somerset,NJ
1195,Karan,Karpin,97005,503-940-8327,Washington,OR
1196,Andra,Scheyer,97302,503-516-2189,Marion,OR
1197,Felicidad,Poullion,8077,856-305-9731,Burlington,NJ
1198,Belen,Strassner,30135,770-507-8791,Douglas,GA
1199,Gracia,Melnyk,32216,904-235-3633,Duval,FL
1200,Jolanda,Hanafan,4401,207-458-9196,Penobscot,ME
1201,Barrett,Toyama,76060,817-765-5781,Tarrant,TX
1202,Helga,Fredicks,14228,716-752-4114,Erie,NY
1203,Ashlyn,Pinilla,33054,305-670-9628,Miami-Dade,FL
1204,Fausto,Agramonte,10038,212-313-1783,New York,NY
1205,Ronny,Caiafa,19103,215-605-7570,Philadelphia,PA
1206,Marge,Limmel,32536,850-430-1663,Okaloosa,FL
1207,Norah,Waymire,94107,415-306-7897,San Francisco,CA
1208,Aliza,Baltimore,95132,408-504-3552,Santa Clara,CA
1209,Mozell,Pelkowski,94080,650-947-1215,San Mateo,CA
