,cust_id,first_name,last_name,name,company_name,address_1,address_2,city,country,state,zip,phone1,phone2,email,web,scores,outliers
44,1045,Erick,Ferencz,0.0,Cindy Turner Associates,20 S Babcock St,0.0,Fairbanks,Fairbanks North Star,AK,99712.0,907-741-1044,907-227-6777,erick.ferencz@aol.com,http://www.cindyturnerassociates.com,-0.005494896182437259,-1
46,1047,Jina,Briddick,0.0,Grace Pastries Inc,38938 Park Blvd$$,0.0,Boston,Suffolk,MA,2128.0,617-399-5124,617-997-5771,jina_briddick@briddick.com,http://www.gracepastriesinc.com,-0.014594459360903422,-1
108,1109,Donte,Kines,0.0,W Tc Industries Inc,3 Aspen St,0.0,Worcester,Worcester,MA,1602.0,508-429-8576,508-843-1426,dkines@hotmail.com,http://www.wtcindustriesinc.com,-0.001344857097130947,-1
386,1387,Gail,Kitty,0.0,Service Supply Co Inc,735 Crawford Dr,0.0,Anchorage,Anchorage47541,AK,99501.0,907-435-9166,907-770-3542,gail@kitty.com,http://www.servicesupplycoinc.com,-0.008294002596559547,-1
393,1394,Laurel,Pagliuca,0.0,Printing Images Corp,36 Enterprise St Se,0.0,Richland,Benton,WA,99352.0,509-695-5199,509-595-6485,laurel@yahoo.com,http://www.printingimagescorp.com,-0.0027903162250705327,-1
415,1416,Ettie,Hoopengardner,0.0,,39 Franklin Ave,0.0,Richland,Benton,WA,99352.0,509-755-5393,509-847-3352,ettie.hoopengardner@hotmail.com,http://www.jacksonmillworkco.com,-0.0010534235445633922,-1
431,1432,Luisa,Jurney,0.0,Forest Fire Laboratory,25 Se 176th Pl,0.0,Cambridge,Middlesex,MA,2138.0,617-365-2134,617-544-2541,ljurney@hotmail.com,http://www.forestfirelaboratory.com,-0.004791396257455283,-1
487,1488,Gail,Similton,0.0,"Johnson, Wes Esq",62 Monroe St,0.0,Thousand Palms,,CA,0.0,760-616-5388,760-493-9208,gail_similton@similton.com,http://www.johnsonwesesq.com,-0.0031690969049645856,-1
490,1491,Carlee,Boulter,0.0,"Tippett, Troy M Ii",8284 Hart St,0.0,Abilene,Dickinson,KS,67410.0,785-347-1805,785-253-7049,carlee.boulter@hotmail.com,,-0.0023079610924416905,-1
491,1492,Thaddeus,Ankeny,0.0,Atc Contracting,5 Washington St #1,0.0,Roseville,Placer,CA,95678.0,916-920-3571,916-459-2433,tankeny@ankeny.org,http://www.atccontracting.com,-0.00019988678460780562,-1
497,1498,Flo,Bookamer,0.0,Simonton Howe & Schneider Pc,89992 E 15th St,0.0,Alliance,Box Butte,NE,69301.0,308-726-2182,308-250-6987,flo.bookamer@cox.net,http://www.simontonhoweschneiderpc.com,-0.007539308813758416,-1
498,1499,Jani,Biddy,0.0,Warehouse Office & Paper Prod,61556 W 20th Ave,0.0,Seattle,King,WA,98104.0,206-711-6498,206-395-6284,jbiddy@yahoo.com,http://www.warehouseofficepaperprod.com,-0.026905753394898313,-1
519,1520,Mee,Lapinski,0.0,Galloway Electric Co Inc,9 Pengwern St,0.0,Marldon,Devon,TQ3 1SA,0.0,01578-287816,01939-815208,mee.lapinski@yahoo.com,http://www.gallowayelectriccoinc.co.uk,-0.0014561091298026518,-1
520,1521,Peter,Gutierres,0.0,Niagara Custombuilt Mfg Co,4410 Tarlton St,0.0,Prestatyn Community,Denbighshire,LL19 9EG,0.0,01842-767201,01859-648598,peter_gutierres@yahoo.com,http://www.niagaracustombuiltmfgco.co.uk,-0.01746152901304443,-1
521,1522,Octavio,Salvadore,0.0,,6949 Bourne St,0.0,Lye and Stourbridge North Ward,West Midlands,DY5 2QP,0.0,01552-709248,01743-139456,octavio.salvadore@yahoo.com,http://www.practicalperiphrals.co.uk,-0.01797814749404425,-1
522,1523,Martha,Teplica,0.0,"Curtin, Patricia M Esq",148 Rembrandt St,0.0,Warlingham,Surrey,CR6 9SW,0.0,01677-684257,01583-287367,mteplica@teplica.co.uk,http://www.curtinpatriciamesq.co.uk,-0.022763708828870133,-1
523,1524,Tamesha,Veigel,0.0,"Wilhelm, James E Jr",2200 Nelson St #58,0.0,Newport,Isle of Wight,PO30 5AL,0.0,01217-342071,01280-786847,tveigel@veigel.co.uk,http://www.wilhelmjamesejr.co.uk,-0.028451502400596573,-1
